"","survey_id","site","species","n","range","time","minutes","seconds","days.x","...10","...11","fid","id","weather","start_time","habitat","dom_veg","patch_id","elevation","days.y","sector","start_time_padded","start_time.dec","pres","days"
"290","Woodland_80","Woodland_80","tree_pipit",1,16.5,20,20,0,4,NA,NA,17,NA,"Sun, light breeze",1150,"5","Oak, blue bell, blaeberry, birch regen",NA,NA,NA,"Claggan","1150",11.8333333333333,1,4
"291","Woodland_82","Woodland_82","willow_warbler",1,15.8,2,2,0,4,NA,NA,19,NA,"Cloudy, breezy",1409,"5","Oak, birch, bluebell",NA,NA,NA,"Claggan","1409",14.15,1,4
"292","Woodland_82","Woodland_82","willow_warbler",2,11,20,20,0,4,NA,NA,19,NA,"Cloudy, breezy",1409,"5","Oak, birch, bluebell",NA,NA,NA,"Claggan","1409",14.15,1,4
"294","Woodland_83","Woodland_83","blue_tit",1,28.6,1.96666666666667,1,58,14,NA,NA,42,NA,"Overcast, mild, ",1651,"5","Oak, bracken, feather moss, birch",NA,59,NA,"Claggan","1651",16.85,1,14
"295","Woodland_83","Woodland_83","chaffinch",1,12.7,0.9,0,54,14,NA,NA,42,NA,"Overcast, mild, ",1651,"5","Oak, bracken, feather moss, birch",NA,59,NA,"Claggan","1651",16.85,1,14
"296","Woodland_83","Woodland_83","chaffinch",1,24.7,3.96666666666667,3,58,14,NA,NA,42,NA,"Overcast, mild, ",1651,"5","Oak, bracken, feather moss, birch",NA,59,NA,"Claggan","1651",16.85,1,14
"297","Woodland_83","Woodland_83","great_spotted_woodpecker",1,41.7,7.16666666666667,7,10,14,NA,NA,42,NA,"Overcast, mild, ",1651,"5","Oak, bracken, feather moss, birch",NA,59,NA,"Claggan","1651",16.85,1,14
"298","Woodland_83","Woodland_83","blue_tit",1,16.1,18.1,18,6,14,NA,NA,42,NA,"Overcast, mild, ",1651,"5","Oak, bracken, feather moss, birch",NA,59,NA,"Claggan","1651",16.85,1,14
"299","Woodland_83","Woodland_83","blue_tit",1,24.2,15.4666666666667,15,28,14,NA,NA,42,NA,"Overcast, mild, ",1651,"5","Oak, bracken, feather moss, birch",NA,59,NA,"Claggan","1651",16.85,1,14
"300","Woodland_83","Woodland_83","chaffinch",1,18.9,19.8333333333333,19,50,14,NA,NA,42,NA,"Overcast, mild, ",1651,"5","Oak, bracken, feather moss, birch",NA,59,NA,"Claggan","1651",16.85,1,14
"302","Woodland_83","Woodland_83","chaffinch",1,26,3.08333333333333,3,5,14,NA,NA,42,NA,"Overcast, mild, ",1651,"5","Oak, bracken, feather moss, birch",NA,59,NA,"Claggan","1651",16.85,1,14
"303","Woodland_83","Woodland_83","chaffinch",1,10.9,26.3333333333333,26,20,14,NA,NA,42,NA,"Overcast, mild, ",1651,"5","Oak, bracken, feather moss, birch",NA,59,NA,"Claggan","1651",16.85,1,14
"304","Woodland_83","Woodland_83","blue_tit",1,36.4,11.7166666666667,11,43,14,NA,NA,42,NA,"Overcast, mild, ",1651,"5","Oak, bracken, feather moss, birch",NA,59,NA,"Claggan","1651",16.85,1,14
"305","Woodland_83","Woodland_83","great_tit",1,18.1,27.05,27,3,14,NA,NA,42,NA,"Overcast, mild, ",1651,"5","Oak, bracken, feather moss, birch",NA,59,NA,"Claggan","1651",16.85,1,14
"306","Woodland_83","Woodland_83","great_tit",1,18.8,22.5833333333333,22,35,14,NA,NA,42,NA,"Overcast, mild, ",1651,"5","Oak, bracken, feather moss, birch",NA,59,NA,"Claggan","1651",16.85,1,14
